id,psnr,ssim,frac_out_of_range,lpips
002054.npy,24.759979248046875,0.7462090253829956,0.0,0.24843333661556244
002060.npy,23.175518035888672,0.7943302989006042,0.0,0.19577209651470184
002070.npy,36.81671905517578,0.9310970902442932,0.0,0.09932050853967667
002121.npy,27.061996459960938,0.6982735991477966,0.0,0.20237253606319427
002132.npy,25.989070892333984,0.7743738293647766,0.0,0.21527862548828125
002159.npy,28.022939682006836,0.666376531124115,0.0,0.34996649622917175
002181.npy,28.297395706176758,0.8267964720726013,0.0,0.15160556137561798
002182.npy,27.556554794311523,0.8144876956939697,0.0,0.14607088267803192
002183.npy,28.067407608032227,0.8297625780105591,0.0,0.1379849910736084
002188.npy,21.590801239013672,0.6516814231872559,0.0,0.2696358859539032
002191.npy,24.762874603271484,0.790288507938385,0.0,0.28440019488334656
002197.npy,32.71147155761719,0.8788506388664246,0.0,0.1143421083688736
002200.npy,23.947879791259766,0.6039369702339172,0.0,0.4258872866630554
002203.npy,25.915681838989258,0.7663495540618896,0.0,0.18179400265216827
002228.npy,21.45827865600586,0.7310801148414612,0.0,0.21544966101646423
002237.npy,23.296981811523438,0.7731205224990845,0.0,0.22084949910640717
002271.npy,33.017791748046875,0.8645661473274231,0.0,0.180088073015213
002286.npy,23.44182586669922,0.7324991226196289,0.0,0.24882233142852783
002290.npy,29.2406005859375,0.8459117412567139,0.0,0.18741846084594727
002291.npy,29.0111141204834,0.8348843455314636,0.0,0.20552805066108704
002323.npy,24.414291381835938,0.7870556712150574,0.0,0.20767325162887573
002332.npy,27.673643112182617,0.5562497973442078,0.0,0.3440161645412445
002350.npy,25.867034912109375,0.6878294944763184,0.0,0.24861623346805573
002360.npy,19.89889907836914,0.6894292831420898,0.0,0.23747363686561584
002367.npy,31.673789978027344,0.9458252191543579,0.0,0.09228880703449249
002369.npy,32.993446350097656,0.9040156602859497,0.0,0.1268010288476944
002373.npy,28.37881851196289,0.8487335443496704,0.0,0.192417174577713
002391.npy,25.431766510009766,0.6031294465065002,0.0,0.4256730079650879
002401.npy,21.001033782958984,0.5847263932228088,0.0,0.28095680475234985
002415.npy,34.37928009033203,0.9150676131248474,0.0,0.1989310085773468
002439.npy,20.449419021606445,0.21731415390968323,0.0,0.8664185404777527
002470.npy,29.45322036743164,0.6648449301719666,0.0,0.3506803512573242
002473.npy,17.613937377929688,0.7214624285697937,0.0,0.25005125999450684
002477.npy,33.559749603271484,0.9118492007255554,0.0,0.10769107192754745
002501.npy,25.237957000732422,0.6278578639030457,0.0,0.3139282763004303
002533.npy,18.412593841552734,0.4824647903442383,0.0,0.5367324352264404
002535.npy,18.158309936523438,0.46969589591026306,0.0,0.5475944876670837
002539.npy,10.85727310180664,0.24011734127998352,0.0,0.8872091174125671
002542.npy,18.53795623779297,0.8314824104309082,0.0,0.2057897299528122
002548.npy,25.847013473510742,0.7281265258789062,0.0,0.19167059659957886
002632.npy,25.240013122558594,0.7552350759506226,0.0,0.1946028172969818
002636.npy,22.29936981201172,0.7823476791381836,0.0,0.23635870218276978
002649.npy,24.5667724609375,0.33964312076568604,0.0,0.6294512152671814
002693.npy,35.76188659667969,0.9278658628463745,0.0,0.08164247870445251
002700.npy,25.46142578125,0.7069924473762512,0.0,0.21211348474025726
002705.npy,23.867610931396484,0.8282872438430786,0.0,0.17593547701835632
002713.npy,20.450288772583008,0.3277619779109955,0.0,0.7118829488754272
002714.npy,20.991744995117188,0.31683480739593506,0.0,0.7381749749183655
