id,group,hf,conc,psnr,ssim,lpips
002844.npy,texture-heavy,0.055016592144966125,0.25192659343511997,25.816144943237305,0.5667744874954224,0.36996302008628845
002847.npy,smooth / low-frequency,0.03371512144804001,0.307156509816652,30.609451293945312,0.7702859044075012,0.3245951533317566
002880.npy,smooth / low-frequency,0.010592729784548283,0.22000975028637879,33.52530288696289,0.8537798523902893,0.3663471043109894
002909.npy,texture-heavy,0.1831054985523224,0.29121385415148493,29.72549819946289,0.6828647255897522,0.3565088212490082
002932.npy,structured / edge-dominated,0.14978161454200745,0.37219321482932904,27.81574058532715,0.8117892742156982,0.16654226183891296
002937.npy,structured / edge-dominated,0.0640842542052269,0.32734436382957993,27.02448272705078,0.6663947701454163,0.28922808170318604
002972.npy,smooth / low-frequency,0.01474692765623331,0.5729775929870968,33.868892669677734,0.9126331806182861,0.08326777070760727
002985.npy,texture-heavy,0.36387667059898376,0.25627183503593715,25.97632598876953,0.44534963369369507,0.3520508110523224
003004.npy,texture-heavy,0.21761253476142883,0.31705888393200676,25.524137496948242,0.7777076363563538,0.194125235080719
003015.npy,structured / edge-dominated,0.07343778014183044,0.3848168013838314,35.20062255859375,0.9508485198020935,0.16721616685390472
003017.npy,texture-heavy,0.048193685710430145,0.2056488287420976,27.897653579711914,0.4423476457595825,0.6520522832870483
003033.npy,texture-heavy,0.08660818636417389,0.2698541543000694,23.520763397216797,0.5528669357299805,0.33224087953567505
003041.npy,structured / edge-dominated,0.12948648631572723,0.5223764852521131,26.23377799987793,0.8475542068481445,0.18043459951877594
003044.npy,texture-heavy,0.48445630073547363,0.20706662298941986,20.679927825927734,0.251071959733963,0.7551171183586121
003050.npy,structured / edge-dominated,0.05759771540760994,0.38778419885277426,35.318538665771484,0.9348719120025635,0.10067672282457352
003062.npy,smooth / low-frequency,0.010386242531239986,0.2496025042756019,29.375028610229492,0.8737884163856506,0.1600480079650879
003096.npy,structured / edge-dominated,0.1717698872089386,0.35830894239434724,24.05172348022461,0.6820825934410095,0.2700900733470917
003100.npy,structured / edge-dominated,0.21119621396064758,0.3248149200805873,24.18433952331543,0.7528694272041321,0.24364584684371948
003131.npy,texture-heavy,0.0625372976064682,0.30331788056084863,29.845857620239258,0.6543940305709839,0.33109158277511597
003168.npy,smooth / low-frequency,0.01820489950478077,0.36685479391475967,30.066404342651367,0.7435346245765686,0.265688955783844
003196.npy,structured / edge-dominated,0.06114112585783005,0.4707185244976105,25.550325393676758,0.7652680277824402,0.2642025351524353
