id,psnr,ssim,frac_out_of_range,lpips
001921.npy,21.038803100585938,0.5544031858444214,0.0,0.3637215197086334
001922.npy,19.71923065185547,0.4805834889411926,0.0,0.39005282521247864
001927.npy,19.10199737548828,0.17630654573440552,0.0,0.6343765258789062
001951.npy,24.629308700561523,0.8035291433334351,0.0,0.21357299387454987
001969.npy,21.889684677124023,0.288028746843338,0.0,0.4649788737297058
001984.npy,23.01772117614746,0.5287882685661316,0.0,0.3628890812397003
001988.npy,20.787212371826172,0.17762219905853271,0.0,0.6123952269554138
002010.npy,22.428579330444336,0.3606245219707489,0.0,0.47458982467651367
002019.npy,20.857280731201172,0.5413187146186829,0.0,0.504065752029419
002052.npy,23.293617248535156,0.7131861448287964,0.0,0.23425638675689697
002054.npy,22.785049438476562,0.6800519824028015,0.0,0.3743070662021637
002060.npy,21.22266387939453,0.7088320255279541,0.0,0.328154593706131
002070.npy,32.04123306274414,0.816098690032959,0.0,0.2307061403989792
002121.npy,22.58143424987793,0.522728443145752,0.0,0.38216039538383484
002132.npy,23.916399002075195,0.6952949166297913,0.0,0.2762542963027954
002159.npy,22.643335342407227,0.4553791284561157,0.0,0.449895977973938
002181.npy,22.291900634765625,0.48469752073287964,0.0,0.43723079562187195
002182.npy,21.68623924255371,0.4874596893787384,0.0,0.438222199678421
002183.npy,21.921491622924805,0.49956485629081726,0.0,0.45005446672439575
002188.npy,20.05327033996582,0.595211386680603,0.0,0.3574576675891876
002191.npy,20.661304473876953,0.37797898054122925,0.0,0.5522446632385254
002197.npy,30.555259704589844,0.820801854133606,0.0,0.20832061767578125
002200.npy,19.682689666748047,0.35283538699150085,0.0,0.5898736715316772
002203.npy,23.71651840209961,0.6721770763397217,0.0,0.326752245426178
002228.npy,20.874584197998047,0.7257207632064819,0.0,0.27437976002693176
002237.npy,21.794734954833984,0.6685804128646851,0.0,0.32413172721862793
002271.npy,29.33818817138672,0.7458102107048035,0.0,0.36091890931129456
002286.npy,22.718687057495117,0.7196148037910461,0.0,0.3048587441444397
002290.npy,23.085935592651367,0.5813786387443542,0.0,0.4253133535385132
002291.npy,22.906734466552734,0.5634111166000366,0.0,0.4588780999183655
002323.npy,22.175676345825195,0.6636422276496887,0.0,0.36863818764686584
002332.npy,20.15686798095703,0.19028306007385254,0.0,0.5736473798751831
002350.npy,23.655475616455078,0.6360785365104675,0.0,0.26990634202957153
002360.npy,19.328960418701172,0.674389660358429,0.0,0.2745201587677002
002367.npy,24.886329650878906,0.6908616423606873,0.0,0.34191322326660156
002369.npy,26.88248062133789,0.7178576588630676,0.0,0.27577662467956543
002373.npy,24.328231811523438,0.585869550704956,0.0,0.4580235481262207
002391.npy,19.414180755615234,0.261788010597229,0.0,0.5626704692840576
002401.npy,19.55577850341797,0.5649328231811523,0.0,0.36343252658843994
002415.npy,20.627946853637695,0.16626504063606262,0.0,0.6947154998779297
002439.npy,18.33756446838379,0.2290673553943634,0.0,0.8763436675071716
002470.npy,20.806608200073242,0.25265905261039734,0.0,0.3601727783679962
002473.npy,17.21329116821289,0.7175377607345581,0.0,0.291910320520401
002477.npy,23.594993591308594,0.3914434611797333,0.0,0.6405634880065918
002501.npy,23.838905334472656,0.6162894368171692,0.0,0.39147475361824036
002533.npy,17.693538665771484,0.4949922561645508,0.0,0.610812246799469
002535.npy,17.302717208862305,0.4760947525501251,0.0,0.625481367111206
002539.npy,10.224623680114746,0.251637727022171,0.0,0.9224488735198975
002542.npy,17.946481704711914,0.8177271485328674,0.0,0.34618300199508667
002548.npy,21.598264694213867,0.5912947058677673,0.0,0.31635403633117676
002632.npy,21.694488525390625,0.55083829164505,0.0,0.37488389015197754
002636.npy,21.876911163330078,0.7545201182365417,0.0,0.2689111530780792
002649.npy,20.848812103271484,0.30137813091278076,0.0,0.6843414306640625
002693.npy,19.966623306274414,0.14087505638599396,0.0,0.5924575328826904
002700.npy,24.36702537536621,0.6930248737335205,0.0,0.21003827452659607
002705.npy,23.431379318237305,0.8006992936134338,0.0,0.2080898880958557
002713.npy,18.857303619384766,0.3334425985813141,0.0,0.7607467174530029
002714.npy,19.59067153930664,0.3485738933086395,0.0,0.7305784225463867
002751.npy,25.14019775390625,0.6642346978187561,0.0,0.3063850998878479
002768.npy,25.407989501953125,0.5264487266540527,0.0,0.4936997890472412
002784.npy,23.612289428710938,0.5891938209533691,0.0,0.3895438015460968
002786.npy,23.961172103881836,0.7271894216537476,0.0,0.21942846477031708
002844.npy,20.698156356811523,0.35666364431381226,0.0,0.501067578792572
002847.npy,27.428895950317383,0.732792854309082,0.0,0.2536541521549225
002880.npy,24.94109344482422,0.45039698481559753,0.0,0.5838629603385925
002909.npy,27.780197143554688,0.6010929942131042,0.0,0.3918479084968567
002932.npy,24.54788589477539,0.636120080947876,0.0,0.38420403003692627
002937.npy,21.376171112060547,0.4211234450340271,0.0,0.39960330724716187
002972.npy,28.410411834716797,0.855810284614563,0.0,0.12580904364585876
002985.npy,20.554351806640625,0.2798595726490021,0.0,0.469704270362854
003004.npy,25.191852569580078,0.7834362387657166,0.0,0.23634815216064453
003015.npy,19.46514892578125,0.10877960920333862,0.0,0.6180826425552368
003017.npy,22.35590171813965,0.28026917576789856,0.0,0.754247784614563
003033.npy,20.098094940185547,0.4618189036846161,0.0,0.43398168683052063
003041.npy,25.431751251220703,0.8153467178344727,0.0,0.2517765462398529
003044.npy,18.249496459960938,0.2371799349784851,0.0,0.7879120707511902
003050.npy,19.188678741455078,0.11407624930143356,0.0,0.5879114866256714
003062.npy,21.185056686401367,0.433828741312027,0.0,0.6864825487136841
003096.npy,22.564268112182617,0.6016879081726074,0.0,0.39724934101104736
003100.npy,23.379343032836914,0.7190630435943604,0.0,0.3365755081176758
003131.npy,19.310483932495117,0.16287127137184143,0.0,0.4541623592376709
003168.npy,23.907466888427734,0.543120801448822,0.0,0.38903719186782837
003196.npy,22.170555114746094,0.5295264720916748,0.0,0.41248732805252075
